met_id	met_name	met_comp	met_single	met_de
cpd00082[e0]	D-Fructose-e0	2	NA	NA
cpd00084[c0]	L-Cysteine-c0	1	NA	NA
cpd00084[e0]	L-Cysteine-e0	2	NA	NA
cpd00085[c0]	beta-Alanine-c0	1	NA	NA
cpd00086[c0]	Propionyl-CoA-c0	1	NA	NA
cpd00087[c0]	Tetrahydrofolate-c0	1	NA	NA
cpd00089[c0]	Glucose-1-phosphate-c0	1	NA	NA
cpd00091[c0]	UMP-c0	1	NA	NA
cpd00092[c0]	Uracil-c0	1	NA	NA
cpd00093[c0]	Anthranilate-c0	1	NA	NA
cpd00094[c0]	2-Oxobutyrate-c0	1	NA	NA
cpd00095[c0]	Glycerone-phosphate-c0	1	NA	NA
cpd00096[c0]	CDP-c0	1	NA	NA
cpd00098[c0]	Choline-c0	1	NA	NA
cpd00098[e0]	Choline-e0	2	NA	NA
cpd00099[c0]	Cl-	1	NA	NA
cpd00099[e0]	Cl-	2	NA	NA
cpd00100[c0]	Glycerol-c0	1	NA	NA
cpd00101[c0]	ribose-5-phosphate-c0	1	NA	NA
cpd00102[c0]	Glyceraldehyde3-phosphate-c0	1	NA	NA
cpd00103[c0]	PRPP-c0	1	NA	NA
cpd00104[c0]	BIOT-c0	1	NA	NA
cpd00104[e0]	BIOT-e0	2	NA	NA
cpd00105[c0]	D-Ribose-c0	1	NA	NA
cpd00105[e0]	D-Ribose-e0	2	NA	NA
cpd00106[c0]	Fumarate-c0	1	NA	NA
cpd00106[e0]	Fumarate-e0	2	NA	NA
cpd00106[p0]	Fumarate-p0	3	NA	NA
cpd00107[c0]	L-Leucine-c0	1	NA	NA
cpd00107[e0]	L-Leucine-e0	2	NA	NA
cpd00108[c0]	Galactose-c0	1	NA	NA
cpd00108[e0]	Galactose-e0	2	NA	NA
cpd00113[c0]	Isopentenyldiphosphate-c0	1	NA	NA
cpd00114[c0]	IMP-c0	1	NA	NA
cpd00115[c0]	dATP	1	NA	NA
cpd00116[c0]	Methanol-c0	1	NA	NA
cpd00116[e0]	Methanol-e0	2	NA	NA
cpd00118[c0]	Putrescine	1	NA	NA
cpd00119[c0]	L-Histidine-c0	1	NA	NA
cpd00119[e0]	L-Histidine-e0	2	NA	NA
cpd00120[c0]	Butyryl-CoA-c0	1	NA	NA
cpd00121[c0]	L-Inositol-c0	1	NA	NA
cpd00121[e0]	L-Inositol-e0	2	NA	NA
cpd00123[c0]	3-Methyl-2-oxobutanoate-c0	1	NA	NA
cpd00125[c0]	5-10-Methylenetetrahydrofolate-c0	1	NA	NA
cpd00126[c0]	GMP-c0	1	NA	NA
cpd00128[c0]	Adenine-c0	1	NA	NA
cpd00129[c0]	L-Proline-c0	1	NA	NA
cpd00129[e0]	L-Proline-e0	2	NA	NA
cpd00130[c0]	L-Malate-c0	1	NA	NA
cpd00130[e0]	L-Malate-e0	2	NA	NA
cpd00130[p0]	L-Malate-p0	3	NA	NA
cpd00132[c0]	L-Asparagine-c0	1	NA	NA
cpd00132[e0]	L-Asparagine-e0	2	NA	NA
cpd00133[c0]	Nicotinamide-c0	1	NA	NA
cpd00133[e0]	Nicotinamide-e0	2	NA	NA
cpd00135[c0]	Homocysteine-c0	1	NA	NA
cpd00137[c0]	Citrate-c0	1	NA	NA
cpd00138[c0]	D-Mannose-c0	1	NA	NA
cpd00138[e0]	D-Mannose-e0	2	NA	NA
cpd00139[c0]	Glycolate-c0	1	NA	NA
cpd00141[c0]	Propionate-c0	1	NA	NA
cpd00141[e0]	Propionate-e0	2	NA	NA
cpd00143[c0]	Phenylpyruvate-c0	1	NA	NA
cpd00144[c0]	UDPglucuronate-c0	1	NA	NA
cpd00145[c0]	Hydroxypyruvate-c0	1	NA	NA
cpd00146[c0]	Carbamoylphosphate-c0	1	NA	NA
cpd00149[c0]	Co2+-c0	1	NA	NA
cpd00149[e0]	Co2+-e0	2	NA	NA
cpd00150[c0]	HCN-c0	1	NA	NA
cpd00150[e0]	HCN-e0	2	NA	NA
cpd00153[c0]	Benzoate-c0	1	NA	NA
cpd00153[e0]	Benzoate-e0	2	NA	NA
cpd00154[c0]	Xylose-c0	1	NA	NA
cpd00154[e0]	Xylose-e0	2	NA	NA
cpd00156[c0]	L-Valine-c0	1	NA	NA
cpd00156[e0]	L-Valine-e0	2	NA	NA
cpd00157[c0]	Glycerone-c0	1	NA	NA
cpd00161[c0]	L-Threonine-c0	1	NA	NA
cpd00161[e0]	L-Threonine-e0	2	NA	NA
cpd00166[c0]	Calomide	1	NA	NA
cpd00169[c0]	3-Phosphoglycerate-c0	1	NA	NA
cpd00171[c0]	D-Ribulose5-phosphate-c0	1	NA	NA
cpd00178[c0]	Acetone-c0	1	NA	NA
cpd00178[e0]	Acetone-e0	2	NA	NA
cpd00179[c0]	Maltose-c0	1	NA	NA
cpd00179[e0]	Maltose-e0	2	NA	NA
cpd00182[c0]	Adenosine-c0	1	NA	NA
cpd00185[c0]	D-Arabinose-c0	1	NA	NA
cpd00185[e0]	D-Arabinose-e0	2	NA	NA
cpd00186[c0]	D-Glutamate-c0	1	NA	NA
cpd00190[c0]	beta-D-Glucose-c0	1	NA	NA
cpd00196[c0]	Acetylphosphate-c0	1	NA	NA
cpd00198[c0]	D-Xylulose5-phosphate-c0	1	NA	NA
cpd00199[c0]	4-Oxobutanoate-c0	1	NA	NA
cpd00200[c0]	4MOP-c0	1	NA	NA
cpd00201[c0]	10-Formyltetrahydrofolate-c0	1	NA	NA
cpd00202[c0]	DMAPP-c0	1	NA	NA
cpd00203[c0]	1,3-Bisphospho-D-glycerate-c0	1	NA	NA
cpd00204[c0]	CO-c0	1	NA	NA
cpd00204[e0]	CO-e0	2	NA	NA
cpd00205[c0]	K+-c0	1	NA	NA
cpd00205[e0]	K+-e0	2	NA	NA
cpd00207[c0]	Guanine-c0	1	NA	NA
cpd00208[c0]	LACT-c0	1	NA	NA
cpd00208[e0]	LACT-e0	2	NA	NA
cpd00209[c0]	Nitrate-c0	1	NA	NA
cpd00209[e0]	Nitrate-e0	2	NA	NA
cpd00210[c0]	Taurine-c0	1	NA	NA
cpd00210[e0]	Taurine-e0	2	NA	NA
cpd00213[c0]	Lipoamide-c0	1	NA	NA
cpd00216[c0]	Chorismate-c0	1	NA	NA
cpd00218[c0]	Niacin-c0	1	NA	NA
cpd00219[c0]	Prephenate-c0	1	NA	NA
cpd00220[c0]	Riboflavin-c0	1	NA	NA
cpd00220[e0]	Riboflavin-e0	2	NA	NA
cpd00223[c0]	Glycerate-c0	1	NA	NA
cpd00224[c0]	L-Arabinose-c0	1	NA	NA
cpd00224[e0]	L-Arabinose-e0	2	NA	NA
cpd00226[c0]	HYXN-c0	1	NA	NA
cpd00227[c0]	L-Homoserine-c0	1	NA	NA
cpd00229[c0]	Glycolaldehyde-c0	1	NA	NA
cpd00236[c0]	D-Erythrose4-phosphate-c0	1	NA	NA
cpd00238[c0]	Sedoheptulose7-phosphate-c0	1	NA	NA
cpd00239[c0]	H2S-c0	1	NA	NA
cpd00239[e0]	H2S-e0	2	NA	NA
cpd00241[c0]	dGTP	1	NA	NA
cpd00242[c0]	H2CO3-c0	1	NA	NA
cpd00244[c0]	Ni2+-c0	1	NA	NA
cpd00244[e0]	Ni2+-e0	2	NA	NA
cpd00246[c0]	Inosine-c0	1	NA	NA
cpd00247[c0]	Orotate-c0	1	NA	NA
cpd00254[c0]	Mg-c0	1	NA	NA
cpd00254[e0]	Mg-e0	2	NA	NA
cpd00259[c0]	D-Lyxulose-c0	1	NA	NA
cpd00260[c0]	Isocitrate-c0	1	NA	NA
cpd00264[c0]	Spermidine	1	NA	NA
cpd00268[c0]	H2S2O3-c0	1	NA	NA
cpd00269[c0]	2-Oxoadipate-c0	1	NA	NA
cpd00274[c0]	Citrulline-c0	1	NA	NA
cpd00277[c0]	Deoxyguanosine-c0	1	NA	NA
cpd00279[c0]	Acetoacetyl-CoA-c0	1	NA	NA
cpd00282[c0]	S-Dihydroorotate-c0	1	NA	NA
cpd00283[c0]	Geranyldiphosphate-c0	1	NA	NA
cpd00284[c0]	6-Phospho-D-gluconate-c0	1	NA	NA
cpd00286[c0]	Undecaprenylphosphate-c0	1	NA	NA
cpd00290[c0]	D-fructose-1,6-bisphosphate-c0	1	NA	NA
cpd00292[c0]	HMG-CoA-c0	1	NA	NA
cpd00297[c0]	dTDP-c0	1	NA	NA
cpd00298[c0]	dTMP-c0	1	NA	NA
cpd00299[c0]	dUMP-c0	1	NA	NA
cpd00305[c0]	Thiamin-c0	1	NA	NA
cpd00305[e0]	Thiamin-e0	2	NA	NA
cpd00306[c0]	Xylitol-c0	1	NA	NA
cpd00309[c0]	XAN-c0	1	NA	NA
cpd00311[c0]	Guanosine-c0	1	NA	NA
cpd00314[c0]	D-Mannitol-c0	1	NA	NA
cpd00314[e0]	D-Mannitol-e0	2	NA	NA
cpd00322[c0]	L-Isoleucine-c0	1	NA	NA
cpd00322[e0]	L-Isoleucine-e0	2	NA	NA
cpd00324[c0]	MTTL-c0	1	NA	NA
cpd00324[e0]	MTTL-e0	2	NA	NA
cpd00327[c0]	strcoa-c0	1	NA	NA
cpd00330[c0]	Dihydrofolate-c0	1	NA	NA
cpd00331[c0]	cis-Aconitate-c0	1	NA	NA
cpd00332[c0]	Mevalonic acid-c0	1	NA	NA
cpd00334[c0]	L-Lactaldehyde-c0	1	NA	NA
cpd00338[c0]	5-Aminolevulinate-c0	1	NA	NA
cpd00343[c0]	N-Carbamoyl-L-aspartate-c0	1	NA	NA
cpd00345[c0]	5-Methyltetrahydrofolate	1	NA	NA
cpd00346[c0]	L-Aspartate4-semialdehyde-c0	1	NA	NA
cpd00347[c0]	5-10-Methenyltetrahydrofolate-c0	1	NA	NA
cpd00349[c0]	Sedoheptulose 1,7-bisphosphate-c0	1	NA	NA
cpd00350[c0]	Farnesyldiphosphate-c0	1	NA	NA
cpd00353[c0]	D-threo-Isocitric acid-c0	1	NA	NA
cpd00355[c0]	Nicotinamide ribonucleotide-c0	1	NA	NA
cpd00356[c0]	dCTP	1	NA	NA
cpd00357[c0]	TTP	1	NA	NA
cpd00358[c0]	dUTP-c0	1	NA	NA
cpd00359[c0]	indol-c0	1	NA	NA
cpd00359[e0]	indol-e0	2	NA	NA
cpd00360[c0]	Purine-c0	1	NA	NA
cpd00361[c0]	ACTN-c0	1	NA	NA
cpd00363[c0]	Ethanol-c0	1	NA	NA
cpd00363[e0]	Ethanol-e0	2	NA	NA
cpd00371[c0]	Propanal-c0	1	NA	NA
cpd00371[e0]	Propanal-e0	2	NA	NA
cpd00379[c0]	Glutarate-c0	1	NA	NA
cpd00380[c0]	Itaconate-c0	1	NA	NA
cpd00380[e0]	Itaconate-e0	2	NA	NA
cpd00383[c0]	Shikimate-c0	1	NA	NA
cpd00387[c0]	ADPglucose-c0	1	NA	NA
cpd00393[c0]	Folate-c0	1	NA	NA
cpd00393[e0]	Folate-e0	2	NA	NA
cpd00404[c0]	D-Ornithine-c0	1	NA	NA
cpd00405[c0]	Hexadecanal-c0	1	NA	NA
cpd00408[c0]	Pantoate-c0	1	NA	NA
cpd00412[c0]	Deoxyuridine-c0	1	NA	NA
cpd00413[c0]	Glutaryl-CoA-c0	1	NA	NA
cpd00417[c0]	L-Lyxitol-c0	1	NA	NA
cpd00418[c0]	NO-c0	1	NA	NA
cpd00418[e0]	NO-e0	2	NA	NA
cpd00421[c0]	Triphosphate-c0	1	NA	NA
cpd00424[c0]	Cystathionine-c0	1	NA	NA
cpd00428[c0]	2-Oxopropanal-c0	1	NA	NA
cpd00438[c0]	Deoxyadenosine-c0	1	NA	NA
cpd00443[c0]	ABEE-c0	1	NA	NA
cpd00448[c0]	D-Glyceraldehyde-c0	1	NA	NA
cpd00448[e0]	D-Glyceraldehyde-e0	2	NA	NA
cpd00449[c0]	Dihydrolipoamide-c0	1	NA	NA
cpd00450[c0]	Methyl sulfide-c0	1	NA	NA
cpd00450[e0]	Methyl sulfide-e0	2	NA	NA
cpd00453[c0]	1,2-Propanediol-c0	1	NA	NA
cpd00453[e0]	1,2-Propanediol-e0	2	NA	NA
cpd00475[c0]	Ribose 1-phosphate-c0	1	NA	NA
cpd00480[c0]	2-Dehydro-D-gluconate-c0	1	NA	NA
cpd00481[c0]	Isobutyryl-CoA-c0	1	NA	NA
cpd00482[c0]	2-Phospho-D-glycerate-c0	1	NA	NA
cpd00497[c0]	XMP-c0	1	NA	NA
cpd00498[c0]	2-Aceto-2-hydroxybutanoate-c0	1	NA	NA
cpd00504[c0]	LL-2,6-Diaminopimelate-c0	1	NA	NA
cpd00506[c0]	gamma-Glutamylcysteine-c0	1	NA	NA
cpd00508[c0]	3MOP-c0	1	NA	NA
cpd00509[c0]	deoxyribose-1-phosphate-c0	1	NA	NA
cpd00516[c0]	meso-2,6-Diaminopimelate-c0	1	NA	NA
cpd00519[c0]	D-methylmalonyl-CoA-c0	1	NA	NA
cpd00521[c0]	dTDP-4-oxo-6-deoxy-D-glucose-c0	1	NA	NA
cpd00523[c0]	Trehalose 6-phosphate-c0	1	NA	NA
cpd00525[c0]	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-c0	1	NA	NA
cpd00528[c0]	N2-c0	1	NA	NA
cpd00528[e0]	N2-e0	2	NA	NA
cpd00540[c0]	BET-c0	1	NA	NA
cpd00540[e0]	BET-e0	2	NA	NA
cpd00551[c0]	DTYL-c0	1	NA	NA
cpd00557[c0]	Siroheme	1	NA	NA
cpd00588[c0]	Sorbitol-c0	1	NA	NA
cpd00611[c0]	D-Threonine-c0	1	NA	NA
cpd00626[c0]	dTDPglucose-c0	1	NA	NA
cpd00635[c0]	Cbl-c0	1	NA	NA
cpd00638[c0]	Deamido-NAD-c0	1	NA	NA
cpd00641[c0]	L-Histidinol-c0	1	NA	NA
cpd00644[c0]	PAN-c0	1	NA	NA
cpd00644[e0]	PAN-e0	2	NA	NA
cpd00646[c0]	PNP-c0	1	NA	NA
cpd00650[c0]	Crotonyl-CoA-c0	1	NA	NA
cpd00655[c0]	Dephospho-CoA-c0	1	NA	NA
cpd00658[c0]	Isochorismate-c0	1	NA	NA
cpd00659[c0]	Nitrous oxide-c0	1	NA	NA
cpd00659[e0]	Nitrous oxide-e0	2	NA	NA
cpd00668[c0]	ALCTT-c0	1	NA	NA
cpd00683[c0]	Dihydropteroate-c0	1	NA	NA
cpd00689[c0]	Porphobilinogen-c0	1	NA	NA
cpd00693[c0]	D-Lactaldehyde-c0	1	NA	NA
cpd00699[c0]	5-Dehydroquinate-c0	1	NA	NA
cpd00709[c0]	beta D-Galactose-c0	1	NA	NA
cpd00712[c0]	2-Dehydropantoate-c0	1	NA	NA
cpd00722[c0]	O-Acetyl-L-serine-c0	1	NA	NA
cpd00724[c0]	alpha-D-Galactose-c0	1	NA	NA
cpd00731[c0]	Ala-Ala-c0	1	NA	NA
cpd00751[c0]	L-Fucose-c0	1	NA	NA
cpd00751[e0]	L-Fucose-e0	2	NA	NA
cpd00755[c0]	Hydroxymethylbilane-c0	1	NA	NA
cpd00760[c0]	2-Methylbutyryl-CoA-c0	1	NA	NA
cpd00773[c0]	UDP-MurNAc-c0	1	NA	NA
cpd00774[c0]	UroporphyrinogenIII-c0	1	NA	NA
cpd00790[c0]	O-Acetyl-L-homoserine-c0	1	NA	NA
cpd00791[c0]	ProtoporphyrinogenIX-c0	1	NA	NA
cpd00793[c0]	Thiamine phosphate-c0	1	NA	NA
cpd00794[c0]	TRHL-c0	1	NA	NA
cpd00794[e0]	TRHL-e0	2	NA	NA
cpd00802[c0]	D-fructose-1-phosphate-c0	1	NA	NA
cpd00807[c0]	L-histidinol-phosphate-c0	1	NA	NA
cpd00810[c0]	Orotidylic acid-c0	1	NA	NA
cpd00811[c0]	(CH3)3NO-c0	1	NA	NA
cpd00811[e0]	(CH3)3NO-e0	2	NA	NA
cpd00812[c0]	5-phosphomevalonate-c0	1	NA	NA
cpd00817[c0]	D-Arabinose5-phosphate-c0	1	NA	NA
cpd00822[c0]	O-Succinyl-L-homoserine-c0	1	NA	NA
cpd00834[c0]	Phosphopantetheine-c0	1	NA	NA
cpd00858[c0]	L-Glutamate5-semialdehyde-c0	1	NA	NA
cpd00859[c0]	Pseudouridine 5'-phosphate-c0	1	NA	NA
cpd00860[c0]	S-Succinyldihydrolipoamide-c0	1	NA	NA
cpd00863[c0]	beta-D-Glucose 6-phosphate-c0	1	NA	NA
cpd00868[c0]	p-hydroxyphenylpyruvate-c0	1	NA	NA
cpd00873[c0]	Nicotinate ribonucleotide-c0	1	NA	NA
cpd00875[c0]	KDO-c0	1	NA	NA
cpd00890[c0]	UDP-N-acetylmuramoyl-L-alanine-c0	1	NA	NA
cpd00895[c0]	H4MPT-c0	1	NA	NA
cpd00911[c0]	6-phospho-D-glucono-1-5-lactone-c0	1	NA	NA
cpd00930[c0]	imidazole acetol-phosphate-c0	1	NA	NA
cpd00931[c0]	5-Amino-6--5-phosphoribosylaminouracil-c0	1	NA	NA
cpd00932[c0]	5-O--1-Carboxyvinyl-3-phosphoshikimate-c0	1	NA	NA
cpd00956[c0]	1-(2-carboxyphenylamino)-1-deoxyribulose 5-phosphate-c0	1	NA	NA
cpd00957[c0]	2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone-c0	1	NA	NA
cpd00971[c0]	Na+-c0	1	NA	NA
cpd00971[e0]	Na+-e0	2	NA	NA
cpd00978[c0]	dUDP-c0	1	NA	NA
cpd00982[c0]	FADH2-c0	1	NA	NA
cpd01015[c0]	Cyanate-c0	1	NA	NA
cpd01015[e0]	Cyanate-e0	2	NA	NA
cpd01024[c0]	Methane-c0	1	NA	NA
cpd01024[e0]	Methane-e0	2	NA	NA
cpd01029[c0]	Base Q-c0	1	NA	NA
cpd01042[c0]	cpd01042[c0]	1	NA	NA
cpd01078[c0]	Selenide-c0	1	NA	NA
cpd01080[c0]	ocdca-c0	1	NA	NA
cpd01171[c0]	Dulcose-c0	1	NA	NA
cpd01197[c0]	Nebularine-c0	1	NA	NA
cpd01217[c0]	Xanthosine-c0	1	NA	NA
cpd01260[c0]	Lauroyl-CoA-c0	1	NA	NA
cpd01335[c0]	Octanoyl-CoA-c0	1	NA	NA
cpd01399[c0]	Maltotetraose-c0	1	NA	NA
cpd01399[e0]	Maltotetraose-e0	2	NA	NA
cpd01422[c0]	beta-D-Xylose-c0	1	NA	NA
cpd01476[c0]	Protoporphyrin-c0	1	NA	NA
cpd01487[c0]	alpha-D-Xylose-c0	1	NA	NA
cpd01502[c0]	Citraconate-c0	1	NA	NA
cpd01608[c0]	L-Selenocysteine-c0	1	NA	NA
cpd01618[c0]	1,3-Propanediol-c0	1	NA	NA
cpd01618[e0]	1,3-Propanediol-e0	2	NA	NA
cpd01620[c0]	Precorrin 2-c0	1	NA	NA
cpd01629[c0]	beta-L-Arabinose-c0	1	NA	NA
cpd01646[c0]	2-Isopropylmalate-c0	1	NA	NA
cpd01698[c0]	alpha-L-Arabinose-c0	1	NA	NA
cpd01700[c0]	D-Citramalate-c0	1	NA	NA
cpd01716[c0]	3-Dehydroshikimate-c0	1	NA	NA
cpd01775[c0]	Phosphoribosyl-ATP-c0	1	NA	NA
cpd01777[c0]	Phosphoribosyl-AMP-c0	1	NA	NA
cpd01793[c0]	2,5-diketo-D-gluconate-c0	1	NA	NA
cpd01800[c0]	2-trans-Hexadecenal-c0	1	NA	NA
cpd01861[c0]	(R)-1,2-Propanediol-c0	1	NA	NA
cpd01861[e0]	(R)-1,2-Propanediol-e0	2	NA	NA
cpd01882[c0]	Isovaleryl-CoA-c0	1	NA	NA
cpd01977[c0]	4-Phospho-L-aspartate-c0	1	NA	NA
cpd01981[c0]	5-Methylthio-D-ribose-c0	1	NA	NA
cpd01981[e0]	5-Methylthio-D-ribose-e0	2	NA	NA
cpd01982[c0]	5-Phosphoribosylamine-c0	1	NA	NA
cpd01997[c0]	Dimethylbenzimidazole	1	NA	NA
cpd02016[c0]	N-Ribosylnicotinamide-c0	1	NA	NA
cpd02030[c0]	3-phosphoshikimate-c0	1	NA	NA
cpd02060[c0]	(2E)-Dodecenoyl-CoA-c0	1	NA	NA
cpd02083[c0]	CoproporphyrinogenIII-c0	1	NA	NA
cpd02089[c0]	5-Oxopentanoate-c0	1	NA	NA
cpd02097[c0]	L-Glutamyl 5-phosphate-c0	1	NA	NA
cpd02113[c0]	dTDP-rhamnose-c0	1	NA	NA
cpd02121[c0]	2-Amino-4-oxopentanoate-c0	1	NA	NA
cpd02122[c0]	2-Dehydro-D-galactonate-c0	1	NA	NA
cpd02124[c0]	2-Methylacetoacetyl-CoA-c0	1	NA	NA
cpd02132[c0]	3-Phospho-D-erythronate-c0	1	NA	NA
cpd02135[c0]	4-Nitrophenyl phosphate-c0	1	NA	NA
cpd02140[c0]	AIR-c0	1	NA	NA
cpd02152[c0]	L-Argininosuccinate-c0	1	NA	NA
cpd02201[c0]	4-phosphopantothenate-c0	1	NA	NA
cpd02210[c0]	Indoleglycerol phosphate-c0	1	NA	NA
cpd02229[c0]	Bactoprenyl diphosphate	1	NA	NA
cpd02333[c0]	Quinolinate-c0	1	NA	NA
cpd02345[c0]	L-Glutamate1-semialdehyde-c0	1	NA	NA
cpd02375[c0]	Adenylosuccinate-c0	1	NA	NA
cpd02394[c0]	GAR-c0	1	NA	NA
cpd02431[c0]	1-Pyrroline-5-carboxylate-c0	1	NA	NA
cpd02448[c0]	2,4-Diaminopentanoate-c0	1	NA	NA
cpd02465[c0]	tetrahydrodipicolinate-c0	1	NA	NA
cpd02498[c0]	2,3-Dihydroxy-isovalerate-c0	1	NA	NA
cpd02535[c0]	2,3-Dihydroxy-3-methylvalerate-c0	1	NA	NA
cpd02546[c0]	CMP-KDO-c0	1	NA	NA
cpd02597[c0]	cis-2-Methylaconitate-c0	1	NA	NA
cpd02605[c0]	2-isopropyl-3-oxosuccinate-c0	1	NA	NA
cpd02611[c0]	N-Acetyl-D-glucosamine1-phosphate-c0	1	NA	NA
cpd02642[c0]	N-5-phosphoribosyl-anthranilate-c0	1	NA	NA
